Season,Split,Champion,Picks,Bans,Presence,Wins,Losses,Win Rate,KDA,Avg BT,Avg GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S13,Spring,Ivern,133,6,3,0%,1,5,17%,1.4,8.7,32:26,4.9,199,277,-17,-802,-281
S13,Spring,Shyvana,80,6,2,0%,2,4,33%,2.6,9.0,33:45,7.8,832,373,10.5,42,584
S13,Spring,Malzahar,54,7,0,0%,2,5,29%,2.3,-,29:15,8.7,548,389,3.6,-254,112
S13,Spring,Shen,79,5,2,0%,3,2,60%,3.6,6.0,31:30,4.3,353,300,-16.2,-405,215
S13,Spring,Warwick,107,3,4,0%,3,0,100%,3.5,6.5,31:39,7.8,615,377,22,610,418
S13,Spring,Anivia,6,2,4,0%,1,1,50%,4.2,4.3,32:23,8.3,611,411,11,251,266
S13,Spring,Skarner,84,4,2,0%,2,2,50%,3.5,7.5,31:51,5.0,159,320,7,-102,618
S13,Spring,Brand,10,4,0,0%,3,1,75%,2.8,-,29:35,7.0,810,376,-14,-415,-393
S13,Spring,Fiddlesticks,22,3,1,0%,0,3,0%,1.7,10.0,32:31,4.1,308,300,-1,-132,123
S13,Spring,Kayle,42,3,1,0%,2,1,67%,6.5,10.0,30:11,10.3,626,478,6.3,-117,48
S13,Spring,Fizz,24,2,1,0%,1,1,50%,3.8,5.0,31:51,7.8,484,412,-1.5,134,-223
S13,Spring,Master Yi,56,3,0,0%,0,3,0%,1.2,-,32:26,6.1,480,345,-8,-850,-212
S13,Spring,Quinn,70,1,2,0%,1,0,100%,4.0,7.0,32:21,9.7,938,480,-,-,-
S13,Spring,Yorick,112,2,1,0%,1,1,50%,2.0,10.0,24:39,8.5,563,438,-3,399,612
S13,Spring,Evelynn,20,1,0,0%,1,0,100%,2.3,-,33:01,6.3,264,339,27,1143,1108
S13,Spring,Katarina,41,1,0,0%,0,1,0%,0.7,-,28:26,6.7,253,302,-12,163,812
S13,Spring,Talon,89,1,0,0%,0,1,0%,1.8,-,32:09,9.0,545,421,-45,-1372,-1932
S13,Spring,Qiyana,145,1,0,0%,0,1,0%,1.7,-,27:22,5.2,359,324,-13,-687,-225
S13,Spring,Rammus,71,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Spring,Shaco,78,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Spring,Teemo,91,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Spring,Neeko,142,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Spring,Milio,163,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Spring,Naafiri,164,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Spring,Briar,165,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Spring,Hwei,166,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Spring,Smolder,167,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S13,Summer,Maokai,55,1266,1657,74%,706,560,56%,3.6,4.2,31:13,4.9,434,329,-4.5,-216,-211
S13,Summer,Xayah,135,1512,1044,65%,800,712,53%,4.1,5.5,31:24,9.8,617,452,0.7,79,72
S13,Summer,Neeko,142,614,1903,64%,331,283,54%,3.4,3.7,30:58,7.6,541,376,2.2,51,58
S13,Summer,LeBlanc,46,590,1917,64%,299,291,51%,4.4,4.1,31:13,9.5,705,442,9.8,385,362
