Season,Split,Champion,Picks,Bans,Presence,Wins,Losses,Win Rate,KDA,Avg BT,Avg GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S14,Spring,Camille,134,93,36,3%,42,51,45%,2.1,7.4,31:13,5.5,462,363,-5,-128,-233
S14,Spring,Graves,29,88,40,3%,42,46,48%,3.8,7.6,32:09,7.8,476,400,12.3,288,357
S14,Spring,Trundle,94,87,39,3%,41,46,47%,3.1,8.2,32:28,5.7,272,338,-1.8,23,-49
S14,Spring,Yasuo,111,68,47,3%,36,32,53%,2.8,8.0,31:04,8.8,450,426,18.6,401,308
S14,Spring,Kennen,43,56,50,3%,27,29,48%,2.4,5.7,32:53,8.2,627,395,14.7,563,212
S14,Spring,Annie,7,67,38,3%,28,39,42%,3.3,6.0,32:57,7.0,629,363,-4.2,-105,-151
S14,Spring,Ziggs,115,62,42,3%,28,34,45%,3.0,7.1,32:59,8.7,815,407,6,-305,88
S14,Spring,Irelia,32,51,52,3%,25,26,49%,2.1,7.1,33:03,8.9,625,443,15.8,547,178
S14,Spring,Rengar,73,12,85,3%,4,8,33%,2.0,2.4,29:12,6.9,310,365,6.6,205,252
S14,Spring,Thresh,92,57,25,2%,28,29,49%,3.6,8.7,32:07,1.0,171,249,-7.2,2,-9
S14,Spring,Vayne,101,39,31,2%,20,19,51%,2.9,7.6,33:02,7.9,610,417,5.4,93,-225
S14,Spring,Heimerdinger,31,37,30,2%,18,19,49%,2.4,6.8,31:51,2.1,473,288,1.9,292,-2
S14,Spring,Miss Fortune,57,52,13,2%,24,28,46%,3.9,7.7,32:02,8.7,615,437,6.8,-45,61
S14,Spring,Urgot,99,43,18,2%,20,23,47%,3.1,8.2,31:28,8.4,575,419,-0.1,133,-74
S14,Spring,Viktor,104,39,22,2%,20,19,51%,3.3,5.4,33:20,8.5,843,416,3.4,15,203
S14,Spring,Sivir,83,40,13,1%,21,19,53%,3.7,8.2,33:47,10.0,764,446,-7.3,-306,-194
S14,Spring,Riven,74,13,38,1%,7,6,54%,2.4,6.4,31:09,8.7,448,426,0.5,46,-222
S14,Spring,Nidalee,63,31,17,1%,16,15,52%,3.4,5.2,29:36,7.3,547,394,7.8,470,162
S14,Spring,Garen,27,33,11,1%,17,16,52%,2.5,8.9,32:17,8.7,502,419,0.2,82,57
S14,Spring,Kassadin,40,25,19,1%,13,12,52%,4.7,8.5,31:47,8.9,652,451,-7.5,-287,-155
S14,Spring,Samira,151,18,21,1%,3,15,17%,1.9,7.2,31:38,8.0,539,422,5.3,102,-158
S14,Spring,Karthus,39,17,21,1%,6,11,35%,2.6,4.6,29:36,8.1,758,405,23.9,329,878
S14,Spring,Vladimir,105,10,27,1%,8,2,80%,4.1,2.9,31:13,8.3,686,405,8.9,148,276
S14,Spring,Nilah,161,19,17,1%,10,9,53%,3.4,7.3,32:07,8.6,401,442,4.3,253,901
S14,Spring,Illaoi,128,15,19,1%,5,10,33%,1.3,4.9,34:20,8.5,845,409,7.5,269,185
S14,Spring,Veigar,102,25,8,1%,12,13,48%,3.1,8.5,31:45,8.3,633,402,-4.4,-329,-113
S14,Spring,Mordekaiser,58,26,6,1%,12,14,46%,1.8,7.8,32:10,7.6,580,377,-0.2,-253,-289
S14,Spring,Galio,25,23,7,1%,10,13,43%,3.7,6.9,32:55,6.1,419,330,-15,-465,-200
S14,Spring,Janna,33,24,6,1%,9,15,38%,4.0,8.0,31:35,1.2,239,256,-15,-236,-248
S14,Spring,Cassiopeia,12,19,10,1%,13,6,68%,5.1,7.6,29:35,8.2,636,430,7.3,119,46
S14,Spring,Lux,52,19,9,1%,8,11,42%,4.0,7.8,35:25,2.6,433,296,-10.2,224,19
S14,Spring,Pantheon,68,12,16,1%,7,5,58%,2.4,4.2,31:56,4.4,496,338,0.9,39,-148
S14,Spring,Swain,87,17,10,1%,8,9,47%,3.4,8.0,30:04,7.4,631,362,-1.3,-157,-15
S14,Spring,Ryze,76,21,5,1%,8,13,38%,2.6,8.6,29:18,9.3,540,421,2.7,-146,-125
S14,Spring,Skarner,84,2,23,1%,2,0,100%,10.7,2.1,33:53,7.0,354,407,15,470,923
S14,Spring,Xerath,109,17,8,1%,6,11,35%,3.1,8.8,32:22,7.2,747,367,1.4,4,112
S14,Spring,Taric,90,13,9,1%,1,12,8%,1.8,8.9,31:49,1.2,147,242,5.4,15,330
S14,Spring,Twitch,97,16,6,1%,9,7,56%,3.8,8.3,33:30,8.2,766,431,-15.2,-337,-251
S14,Spring,Kled,132,10,10,1%,3,7,30%,2.0,8.4,32:37,7.4,572,389,-7.5,-132,-522
S14,Spring,KogMaw,45,16,3,1%,8,8,50%,4.5,7.7,30:48,8.7,839,428,20.1,228,551
S14,Spring,Soraka,86,15,4,1%,4,11,27%,2.5,9.8,31:48,1.4,146,248,-6,-164,193
S14,Spring,Zyra,117,14,4,0%,5,9,36%,2.2,9.3,34:14,1.4,493,271,-2.9,125,-203
S14,Spring,KhaZix,44,13,4,0%,4,9,31%,1.9,8.8,31:35,6.8,386,371,-2,105,-47
S14,Spring,Yuumi,144,14,3,0%,3,11,21%,3.4,9.0,32:02,0.6,269,224,-14.7,-304,-41
S14,Spring,Sett,148,13,4,0%,3,10,23%,2.1,9.0,35:18,6.4,575,365,-7,-96,-323
S14,Spring,Lissandra,49,12,3,0%,4,8,33%,2.7,9.0,29:23,6.8,435,352,0.5,-316,-3
S14,Spring,Ekko,125,8,7,0%,4,4,50%,3.4,7.9,33:09,8.7,766,462,-8.4,74,-249
S14,Spring,Anivia,6,0,13,0%,-,-,-,-,1.5,-,-,-,-,-,-,-
S14,Spring,Gangplank,26,10,2,0%,3,7,30%,1.8,9.0,30:39,8.5,683,445,-2.2,134,-292
S14,Spring,Amumu,5,10,1,0%,1,9,10%,1.6,10.0,31:13,2.7,214,265,-5.9,-293,-272
S14,Spring,Zed,114,7,4,0%,2,5,29%,1.9,8.3,32:02,7.4,610,393,-8.4,-293,-319
S14,Spring,Zoe,139,4,7,0%,1,3,25%,2.4,7.1,27:40,7.5,590,377,-0.8,102,278
S14,Spring,Diana,16,10,0,0%,2,8,20%,2.1,-,32:07,7.1,442,359,-1,-253,37
S14,Spring,Shen,79,9,0,0%,1,8,11%,3.2,-,32:13,7.5,385,356,-24.4,-1258,-566
S14,Spring,Akshan,156,6,3,0%,3,3,50%,2.5,8.0,29:27,7.9,589,414,-3,209,-83
S14,Spring,Elise,19,5,3,0%,3,2,60%,2.8,6.7,32:42,5.8,592,396,-4.6,73,-34
S14,Spring,VelKoz,123,4,4,0%,2,2,50%,4.6,6.0,30:26,7.9,747,438,1.5,764,271
S14,Spring,Briar,165,2,6,0%,2,0,100%,2.5,4.5,34:58,5.9,673,450,-13,314,-243
S14,Spring,Dr. Mundo,17,7,0,0%,3,4,43%,2.6,-,31:25,6.2,513,325,-8,-995,-447
S14,Spring,Sona,85,4,3,0%,1,3,25%,3.1,8.3,35:08,1.9,197,255,3.2,-417,-438
S14,Spring,Talon,89,4,3,0%,0,4,0%,1.6,6.3,34:13,7.5,600,391,8.8,55,218
S14,Spring,Zilean,116,7,0,0%,2,5,29%,3.1,-,30:30,3.0,259,268,-5.7,-521,66
S14,Spring,Chogath,13,5,1,0%,0,5,0%,1.0,10.0,34:25,6.7,439,315,22,-438,-2
S14,Spring,Evelynn,20,5,1,0%,0,5,0%,1.8,10.0,31:14,5.9,442,347,3.4,120,276
S14,Spring,Kayle,42,6,0,0%,2,4,33%,1.6,-,32:45,9.0,685,409,-1.3,-84,-413
S14,Spring,Nunu,65,5,1,0%,4,1,80%,6.5,2.0,33:14,6.0,261,363,7.4,184,186
S14,Spring,Quinn,70,4,2,0%,2,2,50%,1.8,7.5,35:48,9.3,860,445,16.5,856,596
S14,Spring,Vex,157,6,0,0%,1,5,17%,2.3,-,33:49,8.3,607,378,-4.4,-176,-277
S14,Spring,Katarina,41,3,1,0%,0,3,0%,1.7,7.0,29:31,7.5,418,364,-14.3,-366,-249
S14,Spring,Fiddlesticks,22,3,0,0%,1,2,33%,2.6,-,30:28,6.7,332,342,0.7,-40,-10
S14,Spring,Fizz,24,2,1,0%,0,2,0%,1.8,9.0,30:13,7.0,692,400,2.5,-366,734
S14,Spring,Morgana,59,2,1,0%,0,2,0%,0.7,8.0,34:36,3.3,388,263,12.5,-140,468
S14,Spring,Nasus,61,3,0,0%,0,3,0%,1.4,-,29:00,5.2,438,315,-19,-330,-948
S14,Spring,Rammus,71,3,0,0%,2,1,67%,3.6,-,28:09,4.7,270,324,-12,-266,-210
S14,Spring,Shaco,78,3,0,0%,1,2,33%,1.3,-,28:39,4.4,240,295,-33.3,-763,-395
S14,Spring,Singed,81,3,0,0%,0,3,0%,1.6,-,27:33,7.6,477,329,-20,-881,-216
S14,Spring,Tryndamere,95,2,1,0%,0,2,0%,0.6,7.0,28:46,8.0,348,344,-6.5,-364,-600
S14,Spring,Teemo,91,2,0,0%,1,1,50%,2.1,-,31:27,8.3,866,429,28,798,1196
S14,Spring,Kayn,137,2,0,0%,1,1,50%,4.5,-,32:09,6.6,341,366,-7.5,-506,-49
S14,Spring,Naafiri,164,1,1,0%,0,1,0%,3.0,1.0,34:25,8.0,494,415,-8,-205,-213
S14,Spring,Hecarim,30,0,1,0%,-,-,-,-,9.0,-,-,-,-,-,-,-
S14,Spring,Malzahar,54,1,0,0%,0,1,0%,1.0,-,35:33,10.5,608,459,-6,-894,-300
S14,Spring,Shyvana,80,1,0,0%,0,1,0%,1.0,-,23:28,7.4,561,393,-3,-105,-176
S14,Spring,Warwick,107,1,0,0%,1,0,100%,2.0,-,34:32,8.1,470,391,48,1478,948
S14,Spring,Master Yi,56,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Spring,Yorick,112,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Spring,Qiyana,145,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Aatrox,1,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Ahri,2,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Akali,3,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Alistar,4,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Amumu,5,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Anivia,6,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Annie,7,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Ashe,8,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Blitzcrank,9,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Brand,10,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Caitlyn,11,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Cassiopeia,12,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Chogath,13,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Corki,14,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Darius,15,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Diana,16,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Dr. Mundo,17,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Draven,18,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Elise,19,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Evelynn,20,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Ezreal,21,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Fiddlesticks,22,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Fiora,23,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Fizz,24,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Galio,25,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Gangplank,26,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Garen,27,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Gragas,28,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Graves,29,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Hecarim,30,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Heimerdinger,31,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Irelia,32,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Janna,33,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Jarvan IV,34,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Jax,35,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Jayce,36,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Jinx,37,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Karma,38,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Karthus,39,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Kassadin,40,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Katarina,41,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Kayle,42,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Kennen,43,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,KhaZix,44,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,KogMaw,45,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,LeBlanc,46,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Lee Sin,47,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Leona,48,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Lissandra,49,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Lucian,50,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Lulu,51,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Lux,52,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Malphite,53,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Malzahar,54,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Maokai,55,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Master Yi,56,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Miss Fortune,57,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Mordekaiser,58,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Morgana,59,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Nami,60,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Nasus,61,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Nautilus,62,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Nidalee,63,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Nocturne,64,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Nunu,65,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Olaf,66,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Orianna,67,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Pantheon,68,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Poppy,69,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Quinn,70,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Rammus,71,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Renekton,72,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Rengar,73,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Riven,74,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Rumble,75,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Ryze,76,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Sejuani,77,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Shaco,78,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Shen,79,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Shyvana,80,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Singed,81,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Sion,82,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Sivir,83,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Skarner,84,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Sona,85,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Soraka,86,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Swain,87,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Syndra,88,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Talon,89,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Taric,90,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Teemo,91,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Thresh,92,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Tristana,93,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Trundle,94,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Tryndamere,95,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Twisted Fate,96,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Twitch,97,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Udyr,98,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Urgot,99,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Varus,100,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Vayne,101,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Veigar,102,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Vi,103,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Viktor,104,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Vladimir,105,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Volibear,106,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Warwick,107,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Wukong,108,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Xerath,109,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Xin Zhao,110,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Yasuo,111,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Yorick,112,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Zac,113,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Zed,114,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Ziggs,115,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Zilean,116,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Zyra,117,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Braum,118,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Gnar,119,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Azir,120,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Kalista,121,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,RekSai,122,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,VelKoz,123,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Bard,124,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Ekko,125,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Tahm Kench,126,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Kindred,127,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Illaoi,128,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Jhin,129,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Aurelion Sol,130,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Taliyah,131,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Kled,132,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Ivern,133,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Camille,134,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Xayah,135,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Rakan,136,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Kayn,137,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Ornn,138,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Zoe,139,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Kaisa,140,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Pyke,141,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Neeko,142,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Sylas,143,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Yuumi,144,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Qiyana,145,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Senna,146,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Aphelios,147,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Sett,148,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Lillia,149,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Yone,150,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Samira,151,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Seraphine,152,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Rell,153,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Viego,154,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Gwen,155,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Akshan,156,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Vex,157,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Zeri,158,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Renata Glasc,159,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Belveth,160,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Nilah,161,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,KSante,162,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Milio,163,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Naafiri,164,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Briar,165,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Hwei,166,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
S14,Summer,Smolder,167,0,0,0%,-,-,-,-,-,-,-,-,-,-,-,-
