Name,Record,KDA,CSPM,GPM,Gold %,Kill Participation %,Damage Per Minute,Damage %,K+A/M,Solo Kills,Penta Kills,Champion A,Games A,Winrate A,Champion B,Games B,Winrate B,Champion C,Games C,Winrate C
Checkfider S14 Spring,3W - 9L,2.0,7.7,379,22.1%,60.7%,553.5,27.6%,0.26,4,-,Vayne,3,33.3%,Ezreal,2,0%,Kalista,2,50%
Chime S11 Spring,7W - 11L,3.0,1.1,231,13.3%,65%,160.4,8.6%,0.28,1,-,Rell,7,71.4%,Galio,2,0%,Nautilus,2,0%
Chime S11 Summer,11W - 19L,2.4,1.2,226,13.1%,72.6%,149.6,7.5%,0.26,3,-,Leona,6,50%,Rell,6,50%,Nautilus,4,25%
Chime S12 Spring,30W - 26L,3.9,1.1,241,13.3%,67.3%,160.4,8.3%,0.34,-,-,Thresh,10,70%,Rakan,8,50%,Tahm Kench,7,57.1%
Chime S12 Summer,13W - 28L,3.3,1.2,233,13.5%,76.7%,201,9.4%,0.27,2,-,Renata Glasc,8,12.5%,Yuumi,7,57.1%,Rakan,7,57.1%
Chime S13 Spring,9W - 13L,4.4,0.7,228,13.2%,77.2%,197.3,8.8%,0.27,-,-,Nami,7,42.9%,Lulu,4,25%,Rakan,3,33.3%
Chime S13 Summer,12W - 16L,3.3,1.1,228,13%,67.6%,156.2,7.7%,0.26,-,-,Rakan,8,62.5%,Alistar,3,33.3%,Braum,3,33.3%
Chime S14 Spring,27W - 8L,4.7,1.1,265,13.8%,75.4%,212.7,7.9%,0.44,-,-,Nautilus,9,77.8%,Rakan,8,100%,Alistar,3,100%
Brayaron S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brayaron S11 Summer,2W - 2L,3.2,7.5,358,20.4%,56.4%,466.7,23%,0.22,-,-,Aatrox,1,100%,Gnar,1,0%,Viego,1,0%
Brayaron S12 Spring,1W - 0L,2.8,7.7,397,20.8%,66.7%,551.9,18.4%,0.34,-,-,Graves,1,100%,-,-,-,-,-,-
Brayaron S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brayaron S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brayaron S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brayaron S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clid S11 Spring,29W - 16L,4.6,6.2,351,19%,70%,298.5,16.8%,0.27,9,-,Nidalee,13,69.2%,Udyr,11,63.6%,Olaf,10,70%
Clid S11 Summer,37W - 26L,3.9,5.5,331,18.4%,67%,274.2,15.1%,0.26,6,-,Volibear,14,71.4%,Diana,10,60%,Lee Sin,10,60%
Clid S12 Spring,15W - 19L,4.0,5.3,336,18.5%,73.8%,255.4,14.1%,0.3,-,-,Viego,12,58.3%,Xin Zhao,9,44.4%,Lee Sin,4,25%
Clid S12 Summer,23W - 26L,3.2,5.1,327,17.9%,70.8%,259,12.5%,0.29,-,-,Viego,15,40%,Lee Sin,11,45.5%,Wukong,9,44.4%
Clid S13 Spring,29W - 28L,2.5,5.3,320,17.9%,64%,281,13.7%,0.19,9,-,Sejuani,14,28.6%,Vi,13,53.8%,Wukong,8,62.5%
Clid S13 Summer,10W - 5L,3.8,6,351,19%,75.2%,275.9,12.8%,0.28,3,-,Viego,5,20%,Vi,4,100%,Sejuani,3,100%
Clid S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blazes S11 Spring,10W - 24L,2.3,8.7,391,21.9%,59.7%,519.3,24.8%,0.27,6,-,Viktor,6,33.3%,Lucian,4,0%,Orianna,4,50%
Blazes S11 Summer,23W - 19L,3.2,8.5,425,22.4%,61.5%,610.3,25.5%,0.36,12,-,LeBlanc,10,30%,Viktor,7,85.7%,Twisted Fate,6,66.7%
Blazes S12 Spring,11W - 22L,2.1,8.3,411,22%,61.9%,582.6,26.4%,0.34,7,-,Ahri,6,33.3%,Viktor,5,20%,Ryze,4,25%
Blazes S12 Summer,8W - 25L,1.7,8.7,387,21.9%,50.9%,577.4,25.8%,0.22,8,-,Azir,6,33.3%,Sylas,6,16.7%,Ahri,5,0%
Blazes S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blazes S13 Summer,18W - 11L,3.5,8.9,434,23%,67.1%,605.7,27%,0.3,5,-,Jayce,10,40%,Ahri,4,100%,Sylas,3,100%
Blazes S14 Spring,20W - 6L,4.5,8.8,437,22.5%,69.3%,701.8,26.5%,0.37,7,-,Tristana,6,83.3%,Azir,5,80%,Orianna,5,80%
Augety S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Augety S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Augety S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Augety S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Augety S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Augety S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Augety S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berkan S11 Spring,0W - 8L,1.0,8,341,21.9%,61.8%,400,28%,0.15,-,-,Azir,2,0%,Syndra,2,0%,Orianna,1,0%
Berkan S11 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berkan S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berkan S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berkan S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berkan S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berkan S14 Spring,3W - 11L,2.6,8.3,397,22.7%,65.3%,663.4,30.5%,0.25,3,-,Azir,5,40%,Hwei,4,0%,Corki,3,33.3%
Cdric S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cdric S11 Summer,2W - 7L,2.6,7.6,357,21.6%,61.8%,489.1,25.2%,0.21,1,-,LeBlanc,1,0%,Twisted Fate,1,0%,Viktor,1,100%
Cdric S12 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cdric S12 Summer,5W - 9L,3.4,8.3,386,22.6%,68.6%,557.9,27.5%,0.31,9,-,Veigar,2,0%,Lissandra,2,100%,Aurelion Sol,2,100%
Cdric S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cdric S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cdric S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chayon S11 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chayon S11 Summer,0W - 3L,1.2,8.1,339,20.9%,45.7%,318.1,22.2%,0.12,-,-,Aphelios,1,0%,Ezreal,1,0%,Varus,1,0%
Chayon S12 Spring,15W - 12L,4.1,8.6,426,23.5%,59.3%,513,26.5%,0.3,-,-,Aphelios,7,85.7%,Jinx,5,60%,Caitlyn,4,75%
Chayon S12 Summer,4W - 3L,4.1,8.9,441,24.4%,70.2%,662.8,29%,0.3,1,-,Ezreal,2,50%,Twitch,1,100%,Zeri,1,0%
Chayon S13 Spring,1W - 1L,2.7,9,420,23.6%,63.1%,555.2,21%,0.23,1,-,Varus,1,100%,Sivir,1,0%,-,-,-
Chayon S13 Summer,12W - 10L,3.8,9.3,454,24%,65%,652.2,28.1%,0.35,2,-,Aphelios,10,70%,Kaisa,6,50%,Jinx,3,33.3%
Chayon S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chungy S11 Spring,8W - 9L,3.2,7.7,374,21.5%,61.9%,410.3,24%,0.28,3,-,Galio,3,66.7%,Twisted Fate,2,50%,Lucian,2,0%
Chungy S11 Summer,16W - 11L,3.8,7.6,380,21.1%,68.4%,412.5,20.6%,0.32,2,-,Twisted Fate,5,60%,Yasuo,4,75%,Galio,3,100%
Chungy S12 Spring,2W - 7L,1.8,8.6,374,22.7%,59.6%,386.2,24.8%,0.16,4,-,Akali,1,0%,Malzahar,1,100%,Veigar,1,0%
Chungy S12 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chungy S13 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chungy S13 Summer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chungy S14 Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Baolan S11 Spring,7W - 6L,2.8,1.2,241,13.1%,67.6%,124.5,6.2%,0.33,-,-,Leona,6,50%,Galio,3,33.3%,Nautilus,1,100%
Baolan S11 Summer,2W - 2L,2.1,1.3,222,13.1%,78.8%,151.7,7.8%,0.23,-,-,Nautilus,1,100%,Thresh,1,100%,Bard,1,0%
